Energy Savings Regressions,None,None_1,None_2,None_3,None_4,None_5,Regression Form (a+bx+cx^2),None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22,None_23,None_24,None_25,None_26,None_27,None_28,None_29,None_30,None_31,None_32,None_33,None_34,None_35,None_36,None_37,None_38,None_39,None_40,None_41,None_42,None_43,None_44,None_45,None_46,None_47,None_48,None_49,None_50,None_51,None_52,None_53,None_54,None_55,None_56,None_57,None_58,None_59,None_60,None_61,None_62,None_63,None_64,None_65,None_66,None_67,None_68,None_69,None_70,None_71,None_72,None_73,None_74,None_75,None_76,None_77
,,,,,,,Heating Coefficients,,,Cooling Coefficients,,,Notes/Assumptions,Heating Savings Curve Comparisons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Base,SGS Type,Office Size,HVAC/Fuel Type,Fuel Type,Hours,a,b,c,a,b,c,,HDD,1 v 10,,% delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline EUI Regressions,,,,,,,Regression Form (a+bx+cx^2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Coefficients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Base,CSW Type,Office Size,Fuel,Location,Hours,a,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Single,N/A,Mid,Electric,N/A,2080,55.18113166,-0.00283902,4.1e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Single,N/A,Mid,Electric,N/A,2912,69.34188581,-0.00510247,6.6e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Single,N/A,Mid,Electric,N/A,8760,155.28825773,-0.01240227,1.42e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Double,N/A,Mid,Electric,N/A,2080,56.46872306,-0.00362881,3.8e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Double,N/A,Mid,Electric,N/A,2912,66.12223103,-0.00509726,6e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Double,N/A,Mid,Electric,N/A,8760,132.81035158,-0.00742604,8.1e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Single,N/A,Mid,Gas,N/A,2080,59.31242497,-0.00243996,4.1e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Single,N/A,Mid,Gas,N/A,2912,74.88235567,-0.00480321,1.11496319224504e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Single,N/A,Mid,Gas,N/A,8760,163.52028407,-0.00620672,9.8e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Double,N/A,Mid,Gas,N/A,2080,59.70132183,-0.00472653,4.7e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Double,N/A,Mid,Gas,N/A,2912,70.94249856,-0.00635858,6.5e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Double,N/A,Mid,Gas,N/A,8760,139.88997587,-0.01048295,1.14e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Single,N/A,Large,Electric,N/A,2080,58.24146235,-0.00473003,7.1e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Single,N/A,=D66,Electric,N/A,2912,90.299469,-0.00757844,1.08e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Single,N/A,=D67,Electric,N/A,8760,151.39705717,-0.00880168,1.21e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Double,N/A,=D68,Electric,N/A,2080,59.52958945,0.00588564,7.8e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Double,N/A,=D69,Electric,N/A,2912,88.84281252,-0.00881891,1.16e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Double,N/A,=D70,Electric,N/A,8760,143.14186848,-0.00961086,1.16e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
